"","repeat time","n","m","d","s","pi1","pi2","Maxiter","lambda","rho","c","deg","error","error_sd","Nerror","beta_1","beta_14","beta_27"
"1",5,10,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,2.42208651318923,0.31015473043649,1.65500901665374,0.0459729364676285,-0.0467514558811478,0.0116191041448443
"2",5,15,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,1.83675773203014,0.345496190559633,1.25505451244832,0.0578305752851338,0.0537065124174781,-0.0294486204501306
"3",5,25,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.989503278316313,0.106914329751679,0.676126487928626,0.0929157889392292,0.0373881452221615,-0.0107810271124955
"4",5,39,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.820669042063012,0.0303071317714905,0.560762242350488,0.0799287944502318,0.0433165493221202,0.0148635261216282
"5",5,63,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.569214495150202,0.0661615134433175,0.388943630524228,0.0796183742029031,0.0058725465811621,-0.0191122603913966
"6",5,100,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.467690945258848,0.0345543049419392,0.319572701964105,0.084488120723549,0.024812725519774,-0.0179179248589054
"7",5,158,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.393278208437626,0.0332260310138583,0.26872656177779,0.0890989681228453,0.0159607330513326,-0.0127840888105609
"8",5,251,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.360516303837321,0.0225016510439532,0.246340388855808,0.0890084221394058,0.0172830943269045,-0.0140336289314309
"9",5,398,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.348642984102011,0.0176928984020969,0.238227362705608,0.0873601942719597,0.0154179320022815,-0.0159694596699564
"10",5,630,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.333737277244929,0.0149976316052925,0.228042309812685,0.0957984599102546,0.0127723546832416,-0.0153950967718621
"11",5,1000,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.331177671098126,0.00508933213265382,0.226293333783557,0.099239875109725,0.0133439638190785,-0.0181665964292512
"12",5,1584,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.336480786100624,0.00251730790672502,0.229916946357961,0.0951151594190347,0.0145613363026061,-0.0149103674691661
"13",5,2511,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.333808783445131,0.00682709947696577,0.228091169919636,0.0932136018805873,0.017567502918317,-0.0164434828680664
"14",5,3981,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.332416953563949,0.00588639602163737,0.227140134112096,0.0949834226714238,0.0130457375432135,-0.0157167020511855
"15",5,6309,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.329716537469273,0.00398894246526326,0.225294942802426,0.0962133006755478,0.0141126498243399,-0.0168692542740678
"16",5,10000,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.332449122903691,0.00371952410043028,0.22716211538611,0.0956026089936922,0.0127824805285999,-0.0164111726779296
"17",5,15848,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.32944014956209,0.00206843049866542,0.225106087253299,0.0968053185468095,0.0135531574612067,-0.0164892272125112
"18",5,25118,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.331904272038898,0.00137954973306996,0.226789819397072,0.0955578110395296,0.0139185122118941,-0.0159249783658467
"19",5,39810,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.330877113593036,0.00126749805525757,0.226087963175101,0.0968368695297344,0.0132810344101413,-0.0161826846725154
"20",5,63095,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.330974025825745,0.0014200543784843,0.226154183195767,0.0962414610198605,0.0136305678831152,-0.0161808927427291
"21",5,1e+05,20,343,27,0.5,0.5,2000,0.1,0.5,10,5,0.330836569802214,0.000925385935766583,0.226060259647992,0.0963900134866533,0.0138167399336154,-0.0164166242811858
